"","Country.Region","CENTER_LAT","CENTER_LON","Cases","lockdown"
"82","Switzerland",46.8025828,8.23458738,18844,1
"83","Liechtenstein",47.15259548,9.55526493,75,1
"84","Tunisia",34.11124917,9.56156142,455,1
"85","Denmark",55.9623328,10.05082082,3386,1
"86","Germany",51.11015396,10.39232967,79696,1
"87","Italy",42.79119167,12.07165559,115242,1
"88","San Marino",43.94191474,12.46035762,245,1
"89","Norway",64.44784887,14.07508911,4935,1
"90","Austria",47.59295768,14.13998831,11129,1
"91","Malta",35.92036651,14.40457358,195,1
"92","Slovenia",46.12355026,14.82707444,897,1
"93","Czechia",49.74303614,15.33833995,3858,1
"94","Croatia",45.04363696,16.40934249,1011,1
"95","Namibia",-22.13329329,17.21845028,13,1
"96","Angola",-12.29575318,17.54379621,8,1
"97","Bosnia and Herzegovina",44.16643966,17.78861095,521,1
"98","Montenegro",42.79659203,19.26458919,140,1
"99","Poland",52.12472405,19.40092017,2946,1
"100","Hungary",47.16647906,19.41342813,585,1
"101","Slovakia",48.7073588,19.49145028,426,1
"102","Albania",41.14595803,20.06917817,277,1
"103","Kosovo",44.03387222,20.81133086,126,1
"104","Serbia",44.03387222,20.81133086,1171,1
"105","North Macedonia",41.59922075,21.6991485,384,1
"106","Greece",39.04452874,22.9879848,1514,1
"107","Botswana",-22.18204202,23.8150775,4,1
"108","Lithuania",55.33585013,23.89683075,649,1
"109","Latvia",56.85766939,24.92915332,458,1
"110","Romania",45.84360558,24.96990758,2738,1
"111","South Africa",-28.99321352,25.08871199,1462,1
"112","Bulgaria",42.76032141,25.23475756,457,1
"113","Estonia",58.67400787,25.5257709,858,1
"114","Finland",64.49433129,26.2588423,1518,1
"115","Egypt",26.5565646,29.78210708,865,1
"116","Zimbabwe",-19.00000577,29.87175983,8,1
"117","Rwanda",-1.99796798,29.91720553,84,1
"118","Ukraine",49.01609429,31.38784552,987,1
"119","Uganda",1.28008463,32.38622999,44,1
"120","Cyprus",35.04299175,33.21863708,356,1
"121","Israel",31.35805652,34.96598271,6211,1
"122","Turkey",39.06061856,35.17921811,18135,1
"123","Lebanon",33.92039304,35.88806123,508,1
"124","Jordan",31.25338179,36.78694114,299,1
"125","Kenya",0.52978018,37.85786442,110,1
"126","Syria",35.01307272,38.50584744,16,1
"127","Ethiopia",8.62613927,39.61601894,31,1
"128","Georgia",42.17632583,43.51757115,148,1
"129","Iraq",33.04800654,43.77224552,772,1
"130","Saudi Arabia",24.08088192,44.57044965,1885,1
"131","Armenia",40.28641688,44.94793424,640,1
"132","Somalia",6.0637135,45.86255927,5,1
"133","Madagascar",-19.37352133,46.70599248,65,1
"134","Azerbaijan",40.2922195,47.53232681,400,1
"135","Kuwait",29.34250906,47.59355128,417,1
"136","Bahrain",26.01947392,50.56248915,643,1
"137","Qatar",25.31580997,51.19120083,949,1
"138","Iran",32.56479959,54.30141376,50468,1
"139","United Arab Emirates",23.91267254,54.33219878,1024,1
"140","Oman",20.60208368,56.10981747,252,1
"141","Mauritius",-20.1700678,57.868476,169,1
"142","Uzbekistan",41.75041661,63.16950578,221,1
"143","Afghanistan",33.83890116,66.02652977,269,1
"144","Kazakhstan",48.1600427,67.30130018,435,1
"145","Pakistan",29.96678898,69.38581881,2450,1
"146","Maldives",3.37481932,73.25178478,19,1
"147","Kyrgyzstan",41.46490717,74.555493,130,1
"148","India",22.88132057,79.6188183,1965,1
"149","Sri Lanka",7.61236243,80.70426262,148,1
"150","Nepal",28.25300785,83.93851707,6,1
"151","Bangladesh",23.8330072,90.27092576,56,1
"152","Bhutan",27.41546082,90.42943275,5,1
"153","Russia",61.9882456,96.68944215,3548,1
"154","Thailand",15.11989876,101.0149078,1875,1
"155","Mongolia",46.83520872,103.0830311,14,1
"156","Singapore",1.35118038,103.8076536,1049,1
"157","China",36.51870146,103.8934731,82802,1
"158","Cambodia",12.71402994,104.9212396,110,1
"159","Vietnam",16.65160342,106.3040353,233,1
"160","Malaysia",3.79382045,109.7115743,3116,1
"161","Indonesia",-2.22903453,117.3110169,1790,1
"162","Philippines",11.74740203,122.8736074,2633,1
"163","South Korea",36.36770228,127.8293439,10062,1
"164","Australia",-25.73326023,134.490976,5224,1
"165","Japan",37.53982621,137.9738703,2617,1
"166","New Zealand",-41.83710689,171.6039713,774,1
"167","Fiji",-17.855,178.182,7,1
