ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Lao People's Democratic Republic,2020-04-01T00:00:00.000Z,10,0,85305,103.7634056,18.50245057,Lao People's Democratic Republic,老挝人民民主共和国,République démocratique populaire lao,República Democrática Popular Lao,Лаосская Народно-Демократическая Республика,جمهورية لاوس الديمقراطية الشعبية
Northern Mariana Islands (Commonwealth of the),2020-04-01T00:00:00.000Z,6,0,85306,145.5878321,16.25570464,Northern Mariana Islands (Commonwealth of the),"北马里亚纳群岛自由邦
",,,,
Fiji,2020-04-01T00:00:00.000Z,5,0,85307,178.182,-17.855,Fiji,斐济,Fidji,Fiji,Фиджи ,فيجي
Papua New Guinea,2020-04-01T00:00:00.000Z,1,0,85308,145.2536876,-6.47589335,Papua New Guinea,巴布亚新几内亚,Papouasie-Nouvelle-Guinée,Papua Nueva Guinea,Папуа-Новая Гвинея,بابوا غينيا الجديدة
Italy,2020-04-01T00:00:00.000Z,105792,12430,85309,12.07165559,42.79119167,Italy,意大利,Italie,Italia,Италия,إيطاليا
Spain,2020-04-01T00:00:00.000Z,94417,8189,85310,-3.64931118,40.22749596,Spain,西班牙,Espagne,España,Испания,إسبانيا
Germany,2020-04-01T00:00:00.000Z,67366,732,85311,10.39232967,51.11015396,Germany,德国,Allemagne,Alemania,Германия,ألمانيا
France,2020-04-01T00:00:00.000Z,51477,3514,85312,2.55042646,46.56487403,France,法国,France,Francia,Франция,فرنسا
The United Kingdom,2020-04-01T00:00:00.000Z,25154,1789,85313,-2.90049476,54.1601792,The United Kingdom,大不列颠及北爱尔兰联合王国,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية 
Switzerland,2020-04-01T00:00:00.000Z,16108,373,85314,8.23458738,46.8025828,Switzerland,瑞士,Suisse,Suiza,Швейцария,سويسرا
Turkey,2020-04-01T00:00:00.000Z,13531,214,85315,35.17921811,39.06061856,Turkey,土耳其,Turquie,Turquía,Турция,تركيا
Belgium,2020-04-01T00:00:00.000Z,12775,705,85316,4.66434841,50.64295176,Belgium,比利时,Belgique,Bélgica,Бельгия,بلجيكا
Netherlands,2020-04-01T00:00:00.000Z,12595,1039,85317,5.60099776,52.2535763,Netherlands,荷兰,Pays-Bas,Países Bajos,Нидерланды,هولندا
