"","Country.Region","WHO.region","Dates","Cases","Date","Type","Date_Flag","lockdown","CENTER_LON","CENTER_LAT"
"2405","China","Western Pacific Region",2020-02-26,78191,2020-01-23,1,1,1,103.8934731,36.51870146
"2406","China","Western Pacific Region",2020-02-27,78630,2020-01-23,1,1,1,103.8934731,36.51870146
"2407","China","Western Pacific Region",2020-02-28,78961,2020-01-23,1,1,1,103.8934731,36.51870146
"2408","China","Western Pacific Region",2020-02-29,79394,2020-01-23,1,1,1,103.8934731,36.51870146
"2409","China","Western Pacific Region",2020-03-01,79968,2020-01-23,1,1,1,103.8934731,36.51870146
"2410","China","Western Pacific Region",2020-03-02,80174,2020-01-23,1,1,1,103.8934731,36.51870146
"2411","China","Western Pacific Region",2020-03-03,80304,2020-01-23,1,1,1,103.8934731,36.51870146
"2412","China","Western Pacific Region",2020-03-04,80422,2020-01-23,1,1,1,103.8934731,36.51870146
"2413","China","Western Pacific Region",2020-03-05,80565,2020-01-23,1,1,1,103.8934731,36.51870146
"2414","China","Western Pacific Region",2020-03-06,80711,2020-01-23,1,1,1,103.8934731,36.51870146
"2415","China","Western Pacific Region",2020-03-07,80813,2020-01-23,1,1,1,103.8934731,36.51870146
"2416","China","Western Pacific Region",2020-03-08,80859,2020-01-23,1,1,1,103.8934731,36.51870146
"2417","China","Western Pacific Region",2020-03-09,80904,2020-01-23,1,1,1,103.8934731,36.51870146
"2418","China","Western Pacific Region",2020-03-10,80924,2020-01-23,1,1,1,103.8934731,36.51870146
"2419","China","Western Pacific Region",2020-03-11,80955,2020-01-23,1,1,1,103.8934731,36.51870146
"2420","China","Western Pacific Region",2020-03-12,80981,2020-01-23,1,1,1,103.8934731,36.51870146
"2421","China","Western Pacific Region",2020-03-13,80991,2020-01-23,1,1,1,103.8934731,36.51870146
"2422","China","Western Pacific Region",2020-03-14,81021,2020-01-23,1,1,1,103.8934731,36.51870146
"2423","China","Western Pacific Region",2020-03-15,81048,2020-01-23,1,1,1,103.8934731,36.51870146
"2424","China","Western Pacific Region",2020-03-16,81077,2020-01-23,1,1,1,103.8934731,36.51870146
"2425","China","Western Pacific Region",2020-03-17,81116,2020-01-23,1,1,1,103.8934731,36.51870146
"2426","China","Western Pacific Region",2020-03-18,81116,2020-01-23,1,1,1,103.8934731,36.51870146
"2427","China","Western Pacific Region",2020-03-19,81174,2020-01-23,1,1,1,103.8934731,36.51870146
"2428","China","Western Pacific Region",2020-03-20,81300,2020-01-23,1,1,1,103.8934731,36.51870146
"2429","China","Western Pacific Region",2020-03-21,81416,2020-01-23,1,1,1,103.8934731,36.51870146
"2430","China","Western Pacific Region",2020-03-22,81498,2020-01-23,1,1,1,103.8934731,36.51870146
"2431","China","Western Pacific Region",2020-03-23,81601,2020-01-23,1,1,1,103.8934731,36.51870146
"2432","China","Western Pacific Region",2020-03-24,81747,2020-01-23,1,1,1,103.8934731,36.51870146
"2433","China","Western Pacific Region",2020-03-25,81848,2020-01-23,1,1,1,103.8934731,36.51870146
"2434","China","Western Pacific Region",2020-03-26,81961,2020-01-23,1,1,1,103.8934731,36.51870146
"2435","China","Western Pacific Region",2020-03-27,82078,2020-01-23,1,1,1,103.8934731,36.51870146
"2436","China","Western Pacific Region",2020-03-28,82230,2020-01-23,1,1,1,103.8934731,36.51870146
"2437","China","Western Pacific Region",2020-03-29,82341,2020-01-23,1,1,1,103.8934731,36.51870146
"2438","China","Western Pacific Region",2020-03-30,82447,2020-01-23,1,1,1,103.8934731,36.51870146
"2439","China","Western Pacific Region",2020-03-31,82545,2020-01-23,1,1,1,103.8934731,36.51870146
"2440","China","Western Pacific Region",2020-04-01,82631,2020-01-23,1,1,1,103.8934731,36.51870146
"2441","China","Western Pacific Region",2020-04-02,82724,2020-01-23,1,1,1,103.8934731,36.51870146
"2442","China","Western Pacific Region",2020-04-03,82802,2020-01-23,1,1,1,103.8934731,36.51870146
"2443","Colombia","Region of the Americas",2020-01-21,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2444","Colombia","Region of the Americas",2020-01-22,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2445","Colombia","Region of the Americas",2020-01-23,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2446","Colombia","Region of the Americas",2020-01-24,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2447","Colombia","Region of the Americas",2020-01-25,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2448","Colombia","Region of the Americas",2020-01-26,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2449","Colombia","Region of the Americas",2020-01-27,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2450","Colombia","Region of the Americas",2020-01-28,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2451","Colombia","Region of the Americas",2020-01-29,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2452","Colombia","Region of the Americas",2020-01-30,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2453","Colombia","Region of the Americas",2020-01-31,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2454","Colombia","Region of the Americas",2020-02-01,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2455","Colombia","Region of the Americas",2020-02-02,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2456","Colombia","Region of the Americas",2020-02-03,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2457","Colombia","Region of the Americas",2020-02-04,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2458","Colombia","Region of the Americas",2020-02-05,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2459","Colombia","Region of the Americas",2020-02-06,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2460","Colombia","Region of the Americas",2020-02-07,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2461","Colombia","Region of the Americas",2020-02-08,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2462","Colombia","Region of the Americas",2020-02-09,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2463","Colombia","Region of the Americas",2020-02-10,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2464","Colombia","Region of the Americas",2020-02-11,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2465","Colombia","Region of the Americas",2020-02-12,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2466","Colombia","Region of the Americas",2020-02-13,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2467","Colombia","Region of the Americas",2020-02-14,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2468","Colombia","Region of the Americas",2020-02-15,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2469","Colombia","Region of the Americas",2020-02-16,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2470","Colombia","Region of the Americas",2020-02-17,0,2020-03-25,1,0,1,-73.07576335,3.90037401
